census_year,block_id,property_id,base_property_id,building_address,CLUE_small_area,parking_type,parking_spaces,longitude,latitude
2013,206,101688,101683,96 Grattan Street CARLTON 3053,Carlton,Commercial,600,144.96603,-37.79968
2013,217,106193,106193,368-386 Lygon Street CARLTON 3053,Carlton,Commercial,154,144.96815,-37.79804
2013,241,573377,573377,220 Berkeley Street CARLTON 3053,Carlton,Commercial,1136,,
2013,242,101255,101255,197-235 Bouverie Street CARLTON 3053,Carlton,Private,119,144.96162,-37.80104
2013,250,623345,108266,11 Nicholson Street CARLTON 3053,Carlton,Commercial,848,144.97163,-37.80397
2013,265,559514,559514,470-496 Swanston Street CARLTON 3053,Carlton,Residential,156,144.96354,-37.80558
2013,270,104468,104468,156-292 Grattan Street PARKVILLE 3010,Parkville,Private,648,144.96118,-37.79678
2013,353,103840,103840,163-177 Flemington Road NORTH MELBOURNE 3051,North Melbourne,Residential,159,144.949,-37.79573
2002,1,103974,103974,507-581 Flinders Street MELBOURNE 3000,Melbourne (CBD),Commercial,270,144.95544,-37.82274
2002,12,103998,103998,452-470 Flinders Street MELBOURNE 3000,Melbourne (CBD),Commercial,296,144.95728,-37.8211
2002,13,108060,108060,19-35 Queen Street MELBOURNE 3000,Melbourne (CBD),Private,172,144.96046,-37.81987
2002,18,108977,108977,25-31 Spring Street MELBOURNE 3000,Melbourne (CBD),Residential,111,144.97279,-37.81618
2002,18,111072,111072,32-44 Flinders Street MELBOURNE 3000,Melbourne (CBD),Commercial,532,144.97187,-37.81701
2002,22,110665,110661,459 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,175,144.95761,-37.81981
2002,23,102100,102100,433-455 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,450,144.95856,-37.81962
2002,24,102089,102089,327-343 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,380,144.96195,-37.81869
2002,26,102073,102073,141-165 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,350,144.96745,-37.81709
2002,27,102071,102071,121-131 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,558,144.96856,-37.81672
2002,31,108968,108968,613-639 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,300,144.95305,-37.81982
2002,32,102115,102115,522-534 Collins Street MELBOURNE 3000,Melbourne (CBD),Private,348,144.9555,-37.81934
2002,32,102117,102117,500-514 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,170,144.95616,-37.81921
2002,34,102133,102133,360-374 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,140,144.96086,-37.81781
2002,37,102161,102161,80 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,220,144.96937,-37.81527
2002,42,101156,101155,535 Bourke Street MELBOURNE 3000,Melbourne (CBD),Commercial,361,144.9565,-37.818
2002,43,110146,110146,130-148 William Street MELBOURNE 3000,Melbourne (CBD),Private,308,144.95759,-37.81764
2002,48,105969,105969,34-60 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,960,144.97064,-37.81406
2002,58,103621,103621,174-192 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Commercial,151,144.96932,-37.81287
2002,71,108962,108962,244-276 Spencer Street MELBOURNE 3000,Melbourne (CBD),Private,145,144.95164,-37.81601
2002,74,105737,105737,402-408 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Private,152,144.95901,-37.81409
