id,name2,host_id,host_name,neighbourhood_group,neighbourhood,latitude2,longitude2,room_type2,high_price,minimum_nights2,number_of_reviews2,reviews_per_month,calculated_host_listings_count,availability_365,
17611136,Splendid family or couple Oasis,90853475,Amy,,Hobsons Bay,-37.88361602,144.7721493,Entire home/apt,350,2,5,0.46,1,0,1
7937376,Victorian Villa by the Sea,9299376,Matthew,,Hobsons Bay,-37.85224508,144.8969282,Entire home/apt,350,4,0,,1,0,1
16492398,Spacious 3 BR Home in the heart of Williamstown,32790903,Sally,,Hobsons Bay,-37.86355342,144.904583,Entire home/apt,345,3,3,0.17,6,84,1
6871479,Family Home 7km to CBD,10918327,Nat,,Hobsons Bay,-37.84429013,144.8783564,Entire home/apt,260,5,7,0.18,1,25,1
18215848,Site so bright Williamstown Beach townhouse,119212363,Adriana,,Hobsons Bay,-37.87022782,144.9026063,Entire home/apt,260,4,0,,1,87,1
17096486,ALTONA BEACHSIDE HOME,61858406,Shelley,,Hobsons Bay,-37.86191789,144.8242708,Entire home/apt,251,2,7,0.32,1,165,1
29264489,Quality Melbourne home,31335985,Hanh,,Hobsons Bay,-37.87995837,144.7726263,Entire home/apt,251,2,0,,1,71,1
20682528,Sunbury Ranch,148011522,Jason,,Hume,-37.51921672,144.7023264,Entire home/apt,700,2,9,0.79,1,331,1
5364275,"Melbourne Farm Stay, Signature Room",27805462,Laurie,,Hume,-37.62864683,144.7471012,Entire home/apt,440,2,1,0.42,4,88,1
5363839,Animal Land Settlers Run,27805462,Laurie,,Hume,-37.63028871,144.7465024,Entire home/apt,379,1,5,0.12,4,363,1
20868686,Modern designer styled home with pool,62340543,Alicia,,Hume,-37.56912212,144.6985533,Entire home/apt,350,5,0,,1,85,1
17610060,Shearers Qtrs. Great for famalies,27805462,Laurie,,Hume,-37.62999827,144.7465428,Entire home/apt,300,1,3,0.35,4,89,1
16021817,Iron Bark Room. Melbourne farm stay,27805462,Laurie,,Hume,-37.63009899,144.744957,Private room,289,1,0,,4,89,1
6789100,"ATTWOOD LODGE - MELBOURNE AIRPORT 5BDRM, Wifi",15651267,Serviced Houses Australia,,Hume,-37.66871035,144.8904666,Entire home/apt,281,2,6,0.17,26,326,1
20398115,BULLA HILL 2 MELBOURNE - COMFORT & GREAT VIEWS,15651267,Serviced Houses Australia,,Hume,-37.63173048,144.7975187,Entire home/apt,281,2,6,0.6,26,344,1
7012134,"BRADFORD PLACE 1 - 20min to CBD, 4B",15651267,Serviced Houses Australia,,Hume,-37.69378206,144.8853509,Entire home/apt,280,2,12,0.33,26,337,1
16167793,"BRADFORD PLACE 2 - 20min to CBD, 4 Bdrms",15651267,Serviced Houses Australia,,Hume,-37.69289739,144.8873822,Entire home/apt,280,2,9,0.46,26,343,1
10476673,World Cup Golf Home,31713704,Steve,,Kingston,-37.95419926,145.0841326,Entire home/apt,2007,7,0,,1,0,1
10714624,Seaside Family Retreat,52246240,Gale,,Kingston,-38.07855221,145.1218259,Entire home/apt,850,14,0,,1,0,1
10949832,This is what holidays are about...,56788089,Kristy,,Kingston,-37.9850085,145.0555178,Entire home/apt,820,10,0,,1,349,1
29546385,Three Bedroom Apartment - Quest Moorabbin,222448922,Quest,,Kingston,-37.95362059,145.0796468,Entire home/apt,399,1,0,,10,220,1
11460227,3 Bedroom Absolute Beachfront,51483850,Esther,,Kingston,-38.05279915,145.1136436,Entire home/apt,350,3,40,1.2,1,73,1
17572977,Outdoor Family Lifestyle,93967137,Petrina & Rod,,Kingston,-37.96504852,145.0656493,Entire home/apt,350,3,4,0.28,1,8,1
18829301,Ocean Reef Resort,130553406,Claudia,,Kingston,-38.07792452,145.1444592,Entire home/apt,350,2,3,0.26,1,233,1
10887331,"Light-filled, spacious family home in Bayside.",56417708,Tanya,,Kingston,-37.9714981,145.0580954,Entire home/apt,350,7,1,0.04,1,19,1
19058703,Beachside Apartments Bonbeach,59833593,Susan,,Kingston,-38.06358979,145.1176123,Entire home/apt,341,3,0,,1,352,1
21601486,Waterfront Retreat,36561777,Tina Frank,,Kingston,-38.07405283,145.1405875,Entire home/apt,339,2,9,0.69,1,153,1
8583609,Testing website!,45108779,Travis,,Knox,-37.88798444,145.2433453,Private room,2000,2,0,,1,365,1
17589769,BIG Home,119505103,Swapnil,,Knox,-37.85188988,145.275093,Private room,316,2,3,0.14,1,0,1
20906298,Incredible nice house,31183088,Shushu,,Knox,-37.88260936,145.233525,Entire home/apt,280,1,4,0.3,1,0,1
19393817,Big and lovely house in Wantirna South,94451762,Leo,,Knox,-37.87801319,145.2399309,Entire home/apt,248,1,14,1.02,3,149,1
18915757,Ferntree Gully Hotel Apartment,131838451,Ferntree Gully,,Knox,-37.89074938,145.2981152,Private room,210,1,3,0.17,1,322,1
13378393,Living in the Suburbs,76020383,J. Elizabeth,,Knox,-37.87367939,145.2527219,Private room,208,1,0,,1,89,1
18765799,New renovated 5 BR beautiful Entire house,96256684,Kelly,,Knox,-37.87209559,145.2612553,Entire home/apt,188,1,44,2.4,2,90,1
13985421,The Romantic Cottage in the Windy Garden,83259522,Hoa&Van,,Knox,-37.88163322,145.3021383,Entire home/apt,186,1,94,3.43,1,83,1
23778072,Modern living 3BR sunny home + Off Eastlink + WIFI,141692146,Alice,,Knox,-37.8898448,145.2211281,Entire home/apt,174,1,38,4.85,1,49,1
18543297,Heavenly Retreat with Magical Nature,125783648,Nadia,,Knox,-37.85515099,145.3380876,Entire home/apt,170,2,11,0.64,1,300,1
21505897,Yarra Valley Gateway residence,26149499,Rachael,,Manningham,-37.7344356,145.2302656,Entire home/apt,3400,3,0,,1,179,1
29582260,Amazing Family Resort on Warrandyte -Yarra Valley,14392834,Lusi,,Manningham,-37.74633328,145.1902659,Entire home/apt,820,2,0,,1,156,1
6784223,Morning Brae - tranquil mansion...,10937294,Julie,,Manningham,-37.74308153,145.2582574,Entire home/apt,800,28,1,0.03,1,363,1
29582547,Luxury Secluded Retreat - Country in the City!,222689963,Tim,,Manningham,-37.77698539,145.1975763,Entire home/apt,599,1,3,3,1,315,1
10595314,Pride Leisure Garden House-5 rooms,7044292,Malcom,,Manningham,-37.78688865,145.2072239,Entire home/apt,450,1,18,0.63,3,281,1
19596174,Amazingly nice rooms in central location,94455678,QianYu,,Manningham,-37.78896423,145.10583,Entire home/apt,399,2,30,1.78,1,337,1
17193228,Stunning private hideaway,46258110,Ineka,,Manningham,-37.80209692,145.1932429,Entire home/apt,385,3,0,,1,0,1
10595535,Pride Leisure Garden House near Yarra wine region,7044292,Malcom,,Manningham,-37.78678257,145.206011,Entire home/apt,379,2,22,0.64,3,348,1
5155933,"Stunning 4 bedroom house, pool. Like a 5* Hotel",23546535,Natasha,,Manningham,-37.79140959,145.1057059,Entire home/apt,379,4,6,0.14,1,23,1
21461243,Live like a local in Melbourne! 6 Brs fits 16 ppl!,9571666,Jessica,,Manningham,-37.76995711,145.1114829,Entire home/apt,300,2,46,4.48,1,102,1
2178434,Stay Belgravia 9 bedroom House,11111107,Kelly,,Maribyrnong,-37.80711906,144.9004573,Entire home/apt,795,3,59,1.01,2,301,1
14269550,Luxury home in iconic Yarraville.,47281482,Rebecca,,Maribyrnong,-37.81241645,144.8866309,Entire home/apt,500,2,11,0.47,1,309,1
16619977,Bungalow,56438391,Merry,,Maribyrnong,-37.81217952,144.8757279,Private room,500,1,0,,1,180,1
6425313,Stay Belgravia  -Lime Tree House  6 bedrooms,11111107,Kelly,,Maribyrnong,-37.79967473,144.9045101,Entire home/apt,480,3,61,1.44,2,276,1
17515357,A Grand Mansion- 4 bathrooms near CBD with Parking,2078748,Brenda,,Maribyrnong,-37.8145817,144.8914482,Entire home/apt,480,2,14,0.93,3,256,1
21388364,6 BR Modern Edwardian Mansion,154927899,Luyen,,Maribyrnong,-37.79403215,144.9023507,Entire home/apt,396,2,52,3.92,1,314,1
29016046,Beautiful Mid-Century home 7km from CBD,5647074,Marty,,Maribyrnong,-37.80940612,144.8703249,Entire home/apt,379,10,0,,1,19,1
17261424,"Maribyrnong River ""Edgewater"" - Luxury Family Home",112610314,Marja,,Maribyrnong,-37.78662099,144.8995369,Entire home/apt,370,3,3,0.2,1,365,1
19648696,Fantastic Family Home Inner West 4BR+2bath+Netflix,35516057,Jackie,,Maribyrnong,-37.78229235,144.8812233,Entire home/apt,300,3,50,2.91,1,154,1
21205009,Amazing Home in Yarraville's Best Location!,12275649,Dayna,,Maribyrnong,-37.81759281,144.8896953,Entire home/apt,300,1,7,0.56,2,361,1
30518724,4 bedroom home with solar heated fenced pool,59690506,Stephanie,,Maroondah,-37.78777825,145.2526667,Entire home/apt,300,7,0,,1,17,1
2982188,B & B Mt Dandenong Yarra Ranges,15209825,Kaye,,Maroondah,-37.82740631,145.3132634,Private room,289,1,5,0.15,1,355,1
10368339,Family home in great Melb location.,37212153,Jessica,,Maroondah,-37.80027568,145.2452694,Entire home/apt,289,7,1,0.04,1,363,1
14185108,"Spacious& Cosy home, convenient to everything",81772437,Amy,,Maroondah,-37.81968155,145.2368264,Entire home/apt,288,2,63,2.2,2,303,1
7778195,The Houses Yarra Valley: Maroondah 3 Bedroom,40571613,Cindy,,Maroondah,-37.80188284,145.306725,Entire home/apt,251,4,18,0.47,1,356,1
6627623,Excellent location lots of space,34690738,Farideh,,Maroondah,-37.80777758,145.2468454,Private room,239,1,0,,1,365,1
19767938,Remarkable 4 Bedroom Home in Ringwood,112530913,Fiona And Mark,,Maroondah,-37.81717339,145.2350518,Entire home/apt,237,3,36,2.14,1,217,1
16010330,Modern New 3 bedrooms plus study Townhouse,50409774,Michele & Lung,,Maroondah,-37.82216132,145.2498606,Entire home/apt,235,2,58,2.35,2,203,1
4049460,"Suburban charm, great location",20998360,Mervyn,,Maroondah,-37.82443537,145.2312677,Entire home/apt,235,3,33,0.65,1,354,1
15526019,Best Guesthouse,99833533,Dennis,,Maroondah,-37.81234876,145.2540743,Entire home/apt,199,3,20,0.82,3,0,1
16359110,VERVE APARTMENT SHORT TERM ACCOMDATION,107127376,Jesse,,Melbourne,-37.80643975,144.9620377,Private room,9000,30,0,,1,365,1
16534504,CBD Sky view 3BR/2BA Apt Free Park/Free Tram Zone,26605877,Karen,,Melbourne,-37.81545582,144.9548981,Entire home/apt,2171,1,141,6.57,5,13,1
21240130,Eureka 87 Sky High penthouse with panoramic views,153517405,Jimin,,Melbourne,-37.82051749,144.9651839,Entire home/apt,1888,1,3,0.27,1,65,1
535813,Smart Artz Gallery - Venue Hire,2633177,Sharon,,Melbourne,-37.81408274,144.9693336,Private room,1650,1,0,,1,365,1
9396480,SPACIOUS CITY 6 BEDROOMS 3 BATH+VIEWS-SLEEPS 16-20,12197796,Nicole,,Melbourne,-37.81670173,144.983434,Entire home/apt,1395,1,13,0.49,7,356,1
26306061,"12 bedded  Luxury Apts -sleeps 12
Opposite Casino",12189664,Mark,,Melbourne,-37.82243189,144.9606477,Entire home/apt,1300,2,0,,3,92,1
15572138,LUXICO - Berry St,11914644,Luxico Holiday Homes,,Melbourne,-37.81847276,144.9877088,Entire home/apt,1139,7,0,,73,119,1
8282078,2 Storey Mansion for AFL Final w/e,25241737,Shannon,,Melbourne,-37.81608797,144.9901886,Entire home/apt,1101,2,0,,1,0,1
19811184,Spring St - Stunning Apartment with Sweeping City Views,11914644,Luxico Holiday Homes,,Melbourne,-37.81493352,144.9732869,Entire home/apt,1023,10,2,0.16,73,316,1
2462099,Historical Kensington- 4km from CBD,12591445,Nicky And Sacha,,Melbourne,-37.79065785,144.9237005,Entire home/apt,999,3,57,0.99,2,364,1
16755923,This property is no longer available.,39301617,Max,,Melton,-37.67384589,144.5857555,Entire home/apt,500,2,0,,1,88,1
15989622,Classic 5BR 20mins Airport&CBD (Swimming Pool&Gym),103907347,Bo,,Melton,-37.73922997,144.7261693,Entire home/apt,450,2,23,0.92,3,339,1
14918171,Quest Caroline Springs 2 Bedroom Apartment,93746214,Quest,,Melton,-37.73033839,144.7430783,Entire home/apt,299,1,11,0.51,3,335,1
4157611,Self-contained Rural Apartment,21574284,Anna,,Melton,-37.59352311,144.6764005,Entire home/apt,251,1,51,1.11,2,333,1
14919410,Quest Caroline Springs 1 Bedroom Apartment,93746214,Quest,,Melton,-37.73042201,144.7409551,Entire home/apt,249,1,11,0.49,3,149,1
19170169,feel right at home,99145647,Dee,,Melton,-37.71260291,144.5569594,Entire home/apt,220,2,31,1.77,1,286,1
12786423,Eagles on the Tenth-Play & Stay,39577532,Maria,,Melton,-37.79032341,144.5608911,Entire home/apt,170,1,32,1.04,1,347,1
14918807,Quest Caroline Springs Studio Apartment,93746214,Quest,,Melton,-37.72971272,144.7414567,Entire home/apt,159,1,13,0.48,3,146,1
21541316,Josephine Bed & Breakfast,156596380,Paul,,Melton,-37.58409571,144.6248018,Entire home/apt,150,1,73,5.59,1,231,1
20796959,Sameer's,148869332,Sameer,,Melton,-37.70530978,144.7330633,Private room,150,1,1,0.18,1,179,1
20666676,Fantastic accommodation,52349881,Xiangrong,,Monash,-37.86576227,145.1205698,Entire home/apt,1188,7,1,0.07,1,363,1
8463341,Forevery,31816747,Caine,,Monash,-37.91956282,145.1113006,Entire home/apt,998,1,0,,1,0,1
4950810,big room in clayton near monash uni,25518903,Prashanth,,Monash,-37.91724457,145.1277781,Private room,651,1,0,,1,0,1
29597257,Super luxury home for center of glen all you need,156381779,Gina,,Monash,-37.88936022,145.1660963,Entire home/apt,450,2,0,,12,317,1
15000511,"Spacious,comfortable lovely house",81772437,Amy,,Monash,-37.86353683,145.1250232,Entire home/apt,300,1,26,1.07,2,110,1
21506086,Apartments Of Waverley 3 BR,20300233,Apartments Of Waverley,,Monash,-37.88216762,145.1678083,Entire home/apt,300,2,2,0.16,3,364,1
4148805,Orange Serviced Apartment,21522373,Reservation,,Monash,-37.8813095,145.1602757,Entire home/apt,299,3,2,0.04,1,365,1
20348646,MCLaren in the Wave,67687160,Chhc,,Monash,-37.88050196,145.1130243,Entire home/apt,299,14,0,,1,28,1
18375852,Luxury 4 Bedroom Townhouse in Glen Waverley,127259126,Xiaomei,,Monash,-37.87346136,145.1707932,Entire home/apt,270,1,27,1.44,3,354,1
11397161,"Beautiful, spacious renovated home",59807809,Emma,,Monash,-37.90174596,145.0811636,Entire home/apt,270,2,2,0.07,1,0,1
21057950,Prime spring carnival location!,50884502,Jordan & Lauren,,Moonee Valley,-37.78500009,144.9210945,Entire home/apt,999,2,0,,1,0,1
