id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
12688697,Completely yours..enjoy,38464271,Warren,,Darebin,-37.7514729,145.0008436,Entire home/apt,96,3,4,0.14,1,0
12993961,Your Melbourne Adventure,47212908,Hollie,,Yarra,-37.82367158,145.0039781,Entire home/apt,96,3,21,0.69,1,220
13723118,Beautiful Room With A View In Southbank (Ensuite),12066834,Amrita,,Melbourne,-37.82737262,144.9600679,Private room,96,3,0,,1,88
15398119,"Great location, your own bathroom a big balcony.",4116889,Victoria,,Port Phillip,-37.86717128,144.9780538,Private room,96,3,3,0.14,1,83
15995601,"Budget Gem in Melbourne CBD (2BR, 1BT)",59412198,Anubhav,,Melbourne,-37.81053066,144.9699375,Entire home/apt,96,3,0,,1,0
16139743,A Home Away from Home in Melbourne's Inner North,10579905,Philip,,Darebin,-37.75030062,145.00649,Entire home/apt,96,3,10,0.42,1,0
16417559,Cosy 2 Bedroom Apartment in Beautiful Mordialloc,107597883,Finn,,Kingston,-38.00659744,145.0940604,Entire home/apt,96,3,2,0.08,1,0
16757239,Neat studio apartment. Own entrance. Leafy suburb.,111203687,Amanda And Ross,,Stonnington,-37.84319132,145.0273432,Entire home/apt,96,3,16,0.71,1,88
17050648,Riviera Apartments,114461679,Vicki,,Yarra,-37.81814548,145.012067,Entire home/apt,96,3,14,1.35,1,152
17451442,2 Bdr Apartment in Central Blackburn,13359222,Jozef,,Whitehorse,-37.81826652,145.1477374,Entire home/apt,96,3,26,1.41,8,325
18200408,"Central, Victorian terrace backed onto parkland",8950541,Felicity,,Yarra,-37.78767428,144.9713481,Entire home/apt,96,3,26,1.96,1,47
18418861,Retro-chic apartment in up-and-coming Northcote,4518229,Luca,,Darebin,-37.76863849,144.9966277,Entire home/apt,96,3,24,1.23,1,44
19040527,Viste della Fortuna - Southbank Waterfront Pets,4647935,Rejuvenate Stays,,Melbourne,-37.82133378,144.9570039,Entire home/apt,96,3,10,0.6,24,317
19403139,"Chic new Fitzroy pad - walk to the MCG, CBD, parks",3150004,Richard,,Yarra,-37.80772864,144.9814058,Entire home/apt,96,3,31,2.02,1,56
19798937,*Cozy Apt w/ Courtyard in Elwood*,139831757,Tamara,,Port Phillip,-37.87321502,144.9874241,Entire home/apt,96,3,3,0.19,1,80
19933547,Charming two storey stable conversion in a mansion,90725860,Jonathan,,Melbourne,-37.79324088,144.97252,Entire home/apt,96,3,3,0.18,1,6
20271652,"Stylish Apartment in St Kilda, Free parking+Wifi",144532593,Alexander,,Port Phillip,-37.8640397,144.9831437,Entire home/apt,96,3,43,2.73,1,1
21450564,A FAMILY STUDIO at Forest Hill,14391341,Kathie & Robert,,Whitehorse,-37.83713827,145.1602774,Entire home/apt,96,3,1,0.12,3,98
21554135,"Light filled apartment. Chapel Street, South Yarra",147731842,Antonia,,Stonnington,-37.83485065,144.9970092,Private room,96,3,3,0.56,1,0
4520612,"Whole Apartment, 1 bed and study!!!",22260026,Gayatri,,Darebin,-37.75162499,145.001783,Entire home/apt,97,3,1,0.02,1,0
9462830,Private Studio in Williamstown,11090526,Jasmine,,Hobsons Bay,-37.8647761,144.8981642,Entire home/apt,97,3,12,0.33,1,0
